date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:49:12	20220/20220	---M--	200	added ('OK')	image/png	etag:%221a7dbd-4efc-5947f3c8a3040%22	https://bslthemes.com/ryan/demo/images/clients/client_2.png	E:/My%20final%20resume/portfolio/bslthemes.com/ryan/demo/images/clients/client_2.png	(from https://bslthemes.com/ryan/demo/index-new-no-photo.html)
19:49:12	28152/28152	---M--	200	added ('OK')	image/png	etag:%221a7dbe-6df8-5947f3c8a3040%22	https://bslthemes.com/ryan/demo/images/clients/client_3.png	E:/My%20final%20resume/portfolio/bslthemes.com/ryan/demo/images/clients/client_3.png	(from https://bslthemes.com/ryan/demo/index-new-no-photo.html)
19:49:12	22401/22401	---M--	200	added ('OK')	image/png	etag:%221a7dbf-5781-5947f3c7aee00%22	https://bslthemes.com/ryan/demo/images/clients/client_4.png	E:/My%20final%20resume/portfolio/bslthemes.com/ryan/demo/images/clients/client_4.png	(from https://bslthemes.com/ryan/demo/index-new-no-photo.html)
19:49:12	7820/7820	---M--	200	added ('OK')	image/jpeg	etag:%221282c3-1e8c-5947f3c4d2740%22	https://bslthemes.com/ryan/demo/images/man1.jpg	E:/My%20final%20resume/portfolio/bslthemes.com/ryan/demo/images/man1.jpg	(from https://bslthemes.com/ryan/demo/index-new-no-photo.html)
19:49:13	42535/42535	---M--	200	added ('OK')	image/jpeg	etag:%221c434f-a627-5947f3cf50000%22	https://bslthemes.com/ryan/demo/images/works/work1.jpg	E:/My%20final%20resume/portfolio/bslthemes.com/ryan/demo/images/works/work1.jpg	(from https://bslthemes.com/ryan/demo/index-new-no-photo.html)
19:49:13	57405/57405	---M--	200	added ('OK')	image/jpeg	etag:%221c4350-e03d-5947f3cf50000%22	https://bslthemes.com/ryan/demo/images/works/work2.jpg	E:/My%20final%20resume/portfolio/bslthemes.com/ryan/demo/images/works/work2.jpg	(from https://bslthemes.com/ryan/demo/index-new-no-photo.html)
19:49:13	69913/69913	---M--	200	added ('OK')	image/jpeg	etag:%221c4351-11119-5947f3ce5bdc0%22	https://bslthemes.com/ryan/demo/images/works/work3.jpg	E:/My%20final%20resume/portfolio/bslthemes.com/ryan/demo/images/works/work3.jpg	(from https://bslthemes.com/ryan/demo/index-new-no-photo.html)
19:49:14	55522/55522	---M--	200	added ('OK')	image/jpeg	etag:%221c4352-d8e2-5947f3cd67b80%22	https://bslthemes.com/ryan/demo/images/works/work4.jpg	E:/My%20final%20resume/portfolio/bslthemes.com/ryan/demo/images/works/work4.jpg	(from https://bslthemes.com/ryan/demo/index-new-no-photo.html)
19:49:14	50683/50683	---M--	200	added ('OK')	image/jpeg	etag:%221c4356-c5fb-5947f3d044240%22	https://bslthemes.com/ryan/demo/images/works/work8.jpg	E:/My%20final%20resume/portfolio/bslthemes.com/ryan/demo/images/works/work8.jpg	(from https://bslthemes.com/ryan/demo/index-new-no-photo.html)
19:49:14	71593/71593	---M--	200	added ('OK')	image/jpeg	etag:%221c4353-117a9-5947f3cc73940%22	https://bslthemes.com/ryan/demo/images/works/work5.jpg	E:/My%20final%20resume/portfolio/bslthemes.com/ryan/demo/images/works/work5.jpg	(from https://bslthemes.com/ryan/demo/index-new-no-photo.html)
19:49:14	48621/48621	---M--	200	added ('OK')	image/jpeg	etag:%221c4354-bded-5947f3cd67b80%22	https://bslthemes.com/ryan/demo/images/works/work6.jpg	E:/My%20final%20resume/portfolio/bslthemes.com/ryan/demo/images/works/work6.jpg	(from https://bslthemes.com/ryan/demo/index-new-no-photo.html)
19:49:15	71427/71427	---M--	200	added ('OK')	image/jpeg	etag:%221c4355-11703-5947f3ce5bdc0%22	https://bslthemes.com/ryan/demo/images/works/work7.jpg	E:/My%20final%20resume/portfolio/bslthemes.com/ryan/demo/images/works/work7.jpg	(from https://bslthemes.com/ryan/demo/index-new-no-photo.html)
19:49:15	10967/10967	---M-Z	200	added ('OK')	text/html	etag:%22c6028-2ad7-5949e5330bd40-gzip%22	https://bslthemes.com/ryan/demo/blog-post-new.html	E:/My%20final%20resume/portfolio/bslthemes.com/ryan/demo/blog-post-new.html	(from https://bslthemes.com/ryan/demo/index-new-no-photo.html)
19:49:15	112566/112566	---M--	200	added ('OK')	image/jpeg	etag:%221857c8-1b7b6-5947f3cb7f700%22	https://bslthemes.com/ryan/demo/images/blog/blog1.jpg	E:/My%20final%20resume/portfolio/bslthemes.com/ryan/demo/images/blog/blog1.jpg	(from https://bslthemes.com/ryan/demo/index-new-no-photo.html)
19:49:16	84857/84857	---M--	200	added ('OK')	image/jpeg	etag:%221857ca-14b79-5947f3cb7f700%22	https://bslthemes.com/ryan/demo/images/blog/blog3.jpg	E:/My%20final%20resume/portfolio/bslthemes.com/ryan/demo/images/blog/blog3.jpg	(from https://bslthemes.com/ryan/demo/index-new-no-photo.html)
19:49:16	96761/96761	---M--	200	added ('OK')	image/jpeg	etag:%221857c9-179f9-5947f3cb7f700%22	https://bslthemes.com/ryan/demo/images/blog/blog2.jpg	E:/My%20final%20resume/portfolio/bslthemes.com/ryan/demo/images/blog/blog2.jpg	(from https://bslthemes.com/ryan/demo/index-new-no-photo.html)
19:49:16	48696/48696	---M--	200	added ('OK')	application/javascript	etag:%221282d2-be38-5947f35a02b40%22	https://bslthemes.com/ryan/demo/js/jquery.validate.js	E:/My%20final%20resume/portfolio/bslthemes.com/ryan/demo/js/jquery.validate.js	(from https://bslthemes.com/ryan/demo/index-new-no-photo.html)
19:49:16	41730/41730	---M--	200	added ('OK')	application/javascript	etag:%221282cf-a302-5947f35a02b40%22	https://bslthemes.com/ryan/demo/js/jquery.magnific-popup.js	E:/My%20final%20resume/portfolio/bslthemes.com/ryan/demo/js/jquery.magnific-popup.js	(from https://bslthemes.com/ryan/demo/index-new-no-photo.html)
19:49:16	86659/86659	---M--	200	added ('OK')	application/javascript	etag:%221282d0-15283-5947f35af6d80%22	https://bslthemes.com/ryan/demo/js/jquery.min.js	E:/My%20final%20resume/portfolio/bslthemes.com/ryan/demo/js/jquery.min.js	(from https://bslthemes.com/ryan/demo/index-new-no-photo.html)
19:49:16	12283/12283	---M--	200	added ('OK')	application/javascript	etag:%221282cd-2ffb-5947f35beafc0%22	https://bslthemes.com/ryan/demo/js/imagesloaded.pkgd.js	E:/My%20final%20resume/portfolio/bslthemes.com/ryan/demo/js/imagesloaded.pkgd.js	(from https://bslthemes.com/ryan/demo/index-new-no-photo.html)
19:49:17	13832/13832	---M--	200	added ('OK')	application/javascript	etag:%221282d1-3608-5947f3590e900%22	https://bslthemes.com/ryan/demo/js/jquery.slimscroll.js	E:/My%20final%20resume/portfolio/bslthemes.com/ryan/demo/js/jquery.slimscroll.js	(from https://bslthemes.com/ryan/demo/index-new-no-photo.html)
19:49:17	91398/91398	---M--	200	added ('OK')	application/javascript	etag:%221282ce-16506-5947f35a02b40%22	https://bslthemes.com/ryan/demo/js/isotope.pkgd.js	E:/My%20final%20resume/portfolio/bslthemes.com/ryan/demo/js/isotope.pkgd.js	(from https://bslthemes.com/ryan/demo/index-new-no-photo.html)
19:49:17	11002/11002	---M--	200	added ('OK')	application/javascript	etag:%221282d4-2afa-5947f39adc440%22	https://bslthemes.com/ryan/demo/js/scripts.js	E:/My%20final%20resume/portfolio/bslthemes.com/ryan/demo/js/scripts.js	(from https://bslthemes.com/ryan/demo/index-new-no-photo.html)
19:49:18	89992/89992	---M--	200	added ('OK')	application/javascript	etag:%221282d3-15f88-5947f35af6d80%22	https://bslthemes.com/ryan/demo/js/owl.carousel.js	E:/My%20final%20resume/portfolio/bslthemes.com/ryan/demo/js/owl.carousel.js	(from https://bslthemes.com/ryan/demo/index-new-no-photo.html)
19:49:18	1343/1343	---M--	200	added ('OK')	image/svg+xml	etag:%221282c6-53f-5947f3c5c6980%22	https://bslthemes.com/ryan/demo/images/quote.svg	E:/My%20final%20resume/portfolio/bslthemes.com/ryan/demo/images/quote.svg	(from https://bslthemes.com/ryan/demo/css/layout.css)
19:49:18	120724/120724	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22e6c1d-1d794-5947f36b2d3c0%22	https://bslthemes.com/ryan/demo/fonts/ionicons.eot?v=2.0.1	E:/My%20final%20resume/portfolio/bslthemes.com/ryan/demo/fonts/ionicons790f.eot	(from https://bslthemes.com/ryan/demo/css/ionicons.css)
19:49:19	67904/67904	---M--	200	added ('OK')	font/woff	etag:%22e6c20-10940-5947f36b2d3c0%22	https://bslthemes.com/ryan/demo/fonts/ionicons.woff?v=2.0.1	E:/My%20final%20resume/portfolio/bslthemes.com/ryan/demo/fonts/ionicons790f.woff	(from https://bslthemes.com/ryan/demo/css/ionicons.css)
19:49:19	188508/188508	---M--	200	added ('OK')	font/ttf	etag:%22e6c1f-2e05c-5947f36c21600%22	https://bslthemes.com/ryan/demo/fonts/ionicons.ttf?v=2.0.1	E:/My%20final%20resume/portfolio/bslthemes.com/ryan/demo/fonts/ionicons790f.ttf	(from https://bslthemes.com/ryan/demo/css/ionicons.css)
19:49:20	10473/10473	---M-Z	404	error ('Not%20Found')	text/html	date:Sat,%2018%20Jul%202020%2014:19:23%20GMT	https://bslthemes.com/ryan/demo/css/owl.video.play.png	E:/My%20final%20resume/portfolio/bslthemes.com/ryan/demo/css/owl.video.play.png	(from https://bslthemes.com/ryan/demo/css/owl.carousel.css)
19:49:20	40380/40380	---M-Z	200	added ('OK')	text/html	etag:%22c6030-9dbc-5949e5302f680-gzip%22	https://bslthemes.com/ryan/demo/index-new-gradient.html	E:/My%20final%20resume/portfolio/bslthemes.com/ryan/demo/index-new-gradient.html	(from https://bslthemes.com/ryan/demo/blog-post-new.html)
19:49:21	333834/333834	---M--	200	added ('OK')	image/svg+xml	etag:%22e6c1e-5180a-5947f36c21600%22	https://bslthemes.com/ryan/demo/fonts/ionicons.svg?v=2.0.1	E:/My%20final%20resume/portfolio/bslthemes.com/ryan/demo/fonts/ionicons790f.svg	(from https://bslthemes.com/ryan/demo/css/ionicons.css)
19:49:22	805772/805772	---M--	200	added ('OK')	image/jpeg	etag:%221282c1-c4b8c-5947f3c7aee00%22	https://bslthemes.com/ryan/demo/images/bg.jpg	E:/My%20final%20resume/portfolio/bslthemes.com/ryan/demo/images/bg.jpg	(from https://bslthemes.com/ryan/demo/blog-post-new.html)
